AAA(t),AAA(t-1),AAA(t-2),deltaAAA(t),deltaAAA(t-1),AAp(t),AAp(t-1),AAp(t-2),deltaAAp(t),deltaAAp(t-1),AA(t),AA(t-1),AA(t-2),deltaAA(t),deltaAA(t-1),AAm(t),AAm(t-1),AAm(t-2),deltaAAm(t),deltaAAm(t-1),Ap(t),Ap(t-1),Ap(t-2),deltaAp(t),deltaAp(t-1),A(t),A(t-1),A(t-2),deltaA(t),deltaA(t-1),Am(t),Am(t-1),Am(t-2),deltaAm(t),deltaAm(t-1),volatility_t,volatility_t-1,delta_v
0.321,0.351,0.328,-0.03,0.023,0.351,0.371,0.358,-0.02,0.013,0.391,0.411,0.398,-0.02,0.013,0.411,0.441,0.418,-0.03,0.023,0.601,0.621,0.608,-0.02,0.013,0.861,0.891,0.868,-0.03,0.023,1.281,1.301,1.288,-0.02,0.013,-0.11,19.87,-19.98
0.351,0.328,0.324,0.023,0.004,0.371,0.358,0.354,0.013,0.004,0.411,0.398,0.394,0.013,0.004,0.441,0.418,0.414,0.023,0.004,0.621,0.608,0.604,0.013,0.004,0.891,0.868,0.864,0.023,0.004,1.301,1.288,1.284,0.013,0.004,19.87,25.05,-5.18
0.328,0.324,0.338,0.004,-0.014,0.358,0.354,0.368,0.004,-0.014,0.398,0.394,0.408,0.004,-0.014,0.418,0.414,0.428,0.004,-0.014,0.608,0.604,0.618,0.004,-0.014,0.868,0.864,0.878,0.004,-0.014,1.288,1.284,1.298,0.004,-0.014,25.05,14.55,10.5
0.324,0.338,0.322,-0.014,0.016,0.354,0.368,0.352,-0.014,0.016,0.394,0.408,0.382,-0.014,0.026,0.414,0.428,0.412,-0.014,0.016,0.604,0.618,0.602,-0.014,0.016,0.864,0.878,0.862,-0.014,0.016,1.284,1.298,1.282,-0.014,0.016,14.55,8.05,6.5
0.338,0.322,0.332,0.016,-0.01,0.368,0.352,0.362,0.016,-0.01,0.408,0.382,0.392,0.026,-0.01,0.428,0.412,0.422,0.016,-0.01,0.618,0.602,0.612,0.016,-0.01,0.878,0.862,0.872,0.016,-0.01,1.298,1.282,1.292,0.016,-0.01,8.05,-3.89,11.94
0.322,0.332,0.329,-0.01,0.003,0.352,0.362,0.359,-0.01,0.003,0.382,0.392,0.399,-0.01,-0.007,0.412,0.422,0.419,-0.01,0.003,0.602,0.612,0.609,-0.01,0.003,0.862,0.872,0.869,-0.01,0.003,1.282,1.292,1.289,-0.01,0.003,-3.89,31.82,-35.71
0.332,0.329,0.341,0.003,-0.012,0.362,0.359,0.371,0.003,-0.012,0.392,0.399,0.401,-0.007,-0.002,0.422,0.419,0.431,0.003,-0.012,0.612,0.609,0.621,0.003,-0.012,0.872,0.869,0.881,0.003,-0.012,1.292,1.289,1.301,0.003,-0.012,31.82,16.1,15.72
0.329,0.341,0.33,-0.012,0.011,0.359,0.371,0.36,-0.012,0.011,0.399,0.401,0.4,-0.002,0.001,0.419,0.431,0.42,-0.012,0.011,0.609,0.621,0.61,-0.012,0.011,0.869,0.881,0.87,-0.012,0.011,1.289,1.301,1.29,-0.012,0.011,16.1,-11.58,27.68
0.341,0.33,0.322,0.011,0.008,0.371,0.36,0.342,0.011,0.018,0.401,0.4,0.382,0.001,0.018,0.431,0.42,0.412,0.011,0.008,0.621,0.61,0.602,0.011,0.008,0.881,0.87,0.862,0.011,0.008,1.301,1.29,1.282,0.011,0.008,-11.58,-9.26,-2.32
0.33,0.322,0.316,0.008,0.006,0.36,0.342,0.346,0.018,-0.004,0.4,0.382,0.386,0.018,-0.004,0.42,0.412,0.406,0.008,0.006,0.61,0.602,0.596,0.008,0.006,0.87,0.862,0.856,0.008,0.006,1.29,1.282,1.276,0.008,0.006,-9.26,-9.71,0.45
0.322,0.316,0.326,0.006,-0.01,0.342,0.346,0.346,-0.004,0,0.382,0.386,0.386,-0.004,0,0.412,0.406,0.416,0.006,-0.01,0.602,0.596,0.596,0.006,0,0.862,0.856,0.866,0.006,-0.01,1.282,1.276,1.276,0.006,0,-9.71,-3.4,-6.31
0.316,0.326,0.325,-0.01,0.001,0.346,0.346,0.345,0,0.001,0.386,0.386,0.385,0,0.001,0.406,0.416,0.415,-0.01,0.001,0.596,0.596,0.605,0,-0.009,0.856,0.866,0.865,-0.01,0.001,1.276,1.276,1.285,0,-0.009,-3.4,25.97,-29.37
0.326,0.325,0.329,0.001,-0.004,0.346,0.345,0.359,0.001,-0.014,0.386,0.385,0.399,0.001,-0.014,0.416,0.415,0.419,0.001,-0.004,0.596,0.605,0.609,-0.009,-0.004,0.866,0.865,0.869,0.001,-0.004,1.276,1.285,1.289,-0.009,-0.004,25.97,6.93,19.04
0.325,0.329,0.331,-0.004,-0.002,0.345,0.359,0.361,-0.014,-0.002,0.385,0.399,0.391,-0.014,0.008,0.415,0.419,0.421,-0.004,-0.002,0.605,0.609,0.611,-0.004,-0.002,0.865,0.869,0.871,-0.004,-0.002,1.285,1.289,1.291,-0.004,-0.002,6.93,10.48,-3.55
