delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
-0.0002,-0.019,-0.007,-0.01,0.011,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007
-1.00E-05,-0.007,-0.019,-0.006,-0.01,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019,0.007,0.019
1.00E-05,-0.022,-0.007,-0.01,-0.006,0.022,0.007,0.022,0.007,0.022,0.007,0.022,0.007,0.022,0.007,0.022,0.007,0.022,0.007
-0.00228,0.01,-0.022,-0.008,-0.01,-0.01,0.022,-0.01,0.022,-0.01,0.022,-0.01,0.022,-0.01,0.022,-0.01,0.022,-0.01,0.022
0.00171,0.04,0.01,0.012,-0.008,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01,-0.04,-0.01
-0.00019,0.028,0.04,0.037,0.012,-0.028,-0.04,-0.028,-0.04,-0.028,-0.04,-0.028,-0.04,-0.028,-0.04,-0.028,-0.04,-0.028,-0.04
-0.00073,-0.006,0.028,-0.009,0.037,0.006,-0.028,0.006,-0.028,0.006,-0.028,0.006,-0.028,0.006,-0.028,0.006,-0.028,0.006,-0.028
-0.0002,-0.005,-0.006,0.006,-0.009,0.005,0.006,0.005,0.006,0.005,0.006,0.005,0.006,0.005,0.006,0.005,0.006,0.005,0.006
-0.00125,-0.009,-0.005,0,0.006,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005
-6.00E-05,-0.009,-0.009,-0.009,0,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
-0.00143,-0.031,-0.009,-0.01,-0.009,0.031,0.009,0.031,0.009,0.031,0.009,0.031,0.009,0.031,0.009,0.031,0.009,0.031,0.009
0.00031,0.007,-0.031,-0.001,-0.01,-0.007,0.031,-0.007,0.031,-0.007,0.031,-0.007,0.031,-0.007,0.031,-0.007,0.031,-0.007,0.031
-4.00E-05,0.005,0.007,0.002,-0.001,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007,-0.005,-0.007
-0.00014,-0.003,0.005,0.004,0.002,0.003,-0.005,0.003,-0.005,0.003,-0.005,0.003,-0.005,0.003,-0.005,0.003,-0.005,0.003,-0.005
-3.00E-05,-0.001,-0.003,-0.002,0.004,0.001,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001,0.003
-5.00E-05,-0.007,-0.001,0.01,-0.002,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001
2.00E-05,-0.05,-0.007,-0.02,0.01,0.05,0.017,0.05,0.017,0.05,0.017,0.05,0.017,0.05,0.017,0.05,0.017,0.05,0.017
-4.00E-05,0.029,-0.05,0.003,-0.02,-0.029,0.05,-0.029,0.05,-0.029,0.05,-0.029,0.05,-0.029,0.05,-0.029,0.05,-0.029,0.05
-6.00E-05,0.04,0.029,0.014,0.003,-0.04,-0.029,-0.04,-0.029,-0.04,-0.029,-0.04,-0.029,-0.04,-0.029,-0.04,-0.029,-0.04,-0.029
-0.00064,0.005,0.04,0.002,0.014,-0.005,-0.04,-0.005,-0.04,-0.005,-0.04,-0.005,-0.04,-0.005,-0.04,-0.005,-0.04,-0.005,-0.04
-0.00039,0.005,0.005,0.003,0.002,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005
0.00078,0.009,0.005,0.003,0.003,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005
-1.00E-05,0.038,0.009,0.021,0.003,-0.038,-0.009,-0.038,-0.009,-0.038,-0.009,-0.038,-0.009,-0.038,-0.009,-0.038,-0.009,-0.038,-0.009
0.0003,-0.02,0.038,0.004,0.021,0.02,-0.038,0.02,-0.038,0.02,-0.038,0.02,-0.038,0.02,-0.038,0.02,-0.038,0.02,-0.038
-1.00E-05,-0.03,-0.02,-0.02,0.004,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02
-0.00023,-0.004,-0.03,0.011,-0.02,0.004,0.03,0.004,0.03,0.004,0.03,0.004,0.03,0.004,0.03,0.004,0.03,0.004,0.03
-8.00E-05,0.031,-0.004,0.008,0.011,-0.031,0.004,-0.031,0.004,-0.031,0.004,-0.031,0.004,-0.031,0.004,-0.031,0.004,-0.031,0.004
0,0.003,0.031,-0.003,0.008,-0.003,-0.031,-0.003,-0.031,-0.003,-0.031,-0.003,-0.031,-0.003,-0.031,-0.003,-0.031,-0.003,-0.031
-7.00E-05,-0.001,0.003,0.002,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003
6.00E-05,0.002,-0.001,0.006,0.002,0.008,0.001,0.008,0.001,0.008,0.001,0.008,0.001,0.008,0.001,0.008,0.001,0.008,0.001
-3.00E-05,0.027,0.002,0,0.006,-0.027,0.008,-0.027,0.008,-0.027,0.008,-0.027,0.008,-0.027,0.008,-0.027,0.008,-0.027,0.008
-0.00021,0.004,0.027,0.031,0,0.006,-0.027,0.006,-0.027,0.006,-0.027,0.006,-0.027,0.006,-0.027,0.006,-0.027,0.006,-0.027
0.00051,0.013,0.004,0.005,0.031,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006
7.00E-05,0.007,0.013,0.018,0.005,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003
-1.00E-05,0.013,0.007,-0.012,0.018,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003,-0.003,0.003
0.00023,0.02,0.013,0.01,-0.012,-0.02,-0.003,-0.02,-0.003,-0.02,-0.003,-0.02,-0.003,-0.02,-0.003,-0.02,-0.003,-0.02,-0.003
-0.00026,0,0.02,0.004,0.01,0,-0.02,0,-0.02,0,-0.02,0,-0.02,0,-0.02,0,-0.02,0,-0.02
0.00052,0.013,0,0.004,0.004,-0.013,0,-0.013,0,-0.013,0,-0.013,0,-0.013,0,-0.013,0,-0.013,0
-0.00014,-0.015,0.013,-0.008,0.004,0.015,-0.013,0.015,-0.013,0.015,-0.013,0.015,-0.013,0.015,-0.013,0.015,-0.013,0.015,-0.013
0,-0.008,-0.015,0.004,-0.008,0.008,0.015,0.008,0.015,0.008,0.015,0.008,0.015,0.008,0.015,0.008,0.015,0.008,0.015
0.00035,0.003,-0.008,-0.001,0.004,-0.003,0.008,-0.003,0.008,-0.003,0.008,-0.003,0.008,-0.003,0.008,-0.003,0.008,-0.003,0.008
-0.00024,-0.005,0.003,0.004,-0.001,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003,0.005,-0.003
0.00183,-0.001,-0.005,-0.008,0.004,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005
0.00119,-0.023,-0.001,-0.027,-0.008,0.023,0.001,0.023,0.001,0.023,0.001,0.023,0.001,0.023,0.001,0.023,0.001,0.023,0.001
0.00066,0.063,-0.023,0.035,-0.027,-0.063,0.023,-0.063,0.023,-0.063,0.023,-0.063,0.023,-0.063,0.023,-0.063,0.023,-0.063,0.023
1.00E-04,0.043,0.063,0.014,0.035,-0.043,-0.063,-0.043,-0.063,-0.043,-0.063,-0.043,-0.063,-0.043,-0.063,-0.043,-0.063,-0.043,-0.063
-0.00023,0.102,0.043,0.03,0.014,-0.102,-0.043,-0.102,-0.043,-0.102,-0.043,-0.102,-0.043,-0.102,-0.043,-0.102,-0.043,-0.102,-0.043
-0.00092,0.025,0.102,0.026,0.03,-0.025,-0.102,-0.025,-0.102,-0.025,-0.102,-0.025,-0.102,-0.025,-0.102,-0.025,-0.102,-0.025,-0.102
-0.00036,0.054,0.025,-0.001,0.026,-0.054,-0.025,-0.054,-0.025,-0.054,-0.025,-0.054,-0.025,-0.054,-0.025,-0.054,-0.025,-0.054,-0.025
0,0.024,0.054,0.057,-0.001,-0.024,-0.054,-0.024,-0.054,-0.024,-0.054,-0.024,-0.054,-0.024,-0.054,-0.024,-0.054,-0.024,-0.054
-0.00041,0.023,0.024,0.008,0.057,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024
0.00022,-0.011,0.023,0.02,0.008,0.031,-0.023,0.031,-0.023,0.031,-0.023,0.031,-0.023,0.031,-0.023,0.031,-0.023,0.031,-0.023
2.00E-05,0.01,-0.011,-0.023,0.02,-0.01,0.031,-0.01,0.031,-0.01,0.031,-0.01,0.031,-0.01,0.031,-0.01,0.031,-0.01,0.031
1.00E-05,0.04,0.01,0.026,-0.023,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01
-6.00E-05,0.036,0.04,0.035,0.026,-0.026,-0.02,-0.026,-0.02,-0.026,-0.02,-0.026,-0.02,-0.026,-0.02,-0.026,-0.02,-0.026,-0.02
-0.00021,0,0.036,0.055,0.035,0,-0.026,0,-0.026,0,-0.026,0,-0.026,0,-0.026,0,-0.026,0,-0.026
-0.00027,-0.047,0,-0.049,0.055,0.057,0,0.057,0,0.057,0,0.057,0,0.057,0,0.057,0,0.057,0
-0.0014,-0.055,-0.047,-0.02,-0.049,0.055,0.057,0.065,0.057,0.065,0.057,0.065,0.057,0.065,0.057,0.065,0.057,0.065,0.057
-0.00126,0.001,-0.055,-0.013,-0.02,-0.001,0.055,-0.001,0.065,-0.001,0.065,-0.001,0.065,-0.001,0.065,-0.001,0.065,-0.001,0.065
-0.00012,0.016,0.001,0.017,-0.013,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001
-0.00039,0.019,0.016,-0.012,0.017,-0.019,-0.016,-0.019,-0.016,-0.019,-0.016,-0.019,-0.016,-0.019,-0.016,-0.019,-0.016,-0.019,-0.016
0.00046,-0.018,0.019,-0.002,-0.012,0.018,-0.019,0.018,-0.019,0.018,-0.019,0.018,-0.019,0.018,-0.019,0.018,-0.019,0.018,-0.019
-0.00013,0.01,-0.018,-0.007,-0.002,-0.01,0.018,-0.01,0.018,-0.01,0.018,-0.01,0.018,-0.01,0.018,-0.01,0.018,-0.01,0.018
0.00165,-0.001,0.01,-0.002,-0.007,0.001,-0.01,0.001,-0.01,0.001,-0.01,0.001,-0.01,0.001,-0.01,0.001,-0.01,0.001,-0.01
8.00E-05,-0.022,-0.001,-0.002,-0.002,0.022,0.001,0.022,0.001,0.022,0.001,0.022,0.001,0.022,0.001,0.022,0.001,0.022,0.001
0.00018,0.021,-0.022,0.007,-0.002,-0.021,0.022,-0.021,0.022,-0.021,0.022,-0.021,0.022,-0.021,0.022,-0.021,0.022,-0.021,0.022
-0.00023,-0.001,0.021,-0.007,0.007,0.001,-0.021,0.001,-0.021,0.001,-0.021,0.001,-0.021,0.001,-0.021,0.001,-0.021,0.001,-0.021
-0.00034,-0.058,-0.001,-0.017,-0.007,0.058,0.001,0.058,0.001,0.058,0.001,0.058,0.001,0.058,0.001,0.058,0.001,0.058,0.001
0,-0.032,-0.058,-0.023,-0.017,0.032,0.058,0.032,0.058,0.032,0.058,0.032,0.058,0.032,0.058,0.032,0.058,0.032,0.058
-0.00137,0.053,-0.032,0.023,-0.023,-0.053,0.032,-0.053,0.032,-0.053,0.032,-0.053,0.032,-0.053,0.032,-0.053,0.032,-0.053,0.032
0.00017,-0.009,0.053,0.005,0.023,0.009,-0.053,0.009,-0.053,0.009,-0.053,0.009,-0.053,0.009,-0.053,0.009,-0.053,0.009,-0.053
-0.00025,0.006,-0.009,-0.003,0.005,-0.006,0.009,-0.006,0.009,-0.006,0.009,-0.006,0.009,-0.006,0.009,-0.006,0.009,-0.006,0.009
-1.00E-05,0.02,0.006,-0.005,-0.003,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006
-0.00018,-0.027,0.02,0.002,-0.005,0.027,-0.02,0.027,-0.02,0.027,-0.02,0.027,-0.02,0.027,-0.02,0.027,-0.02,0.027,-0.02
-5.00E-05,-0.03,-0.027,0.003,0.002,0.03,0.027,0.03,0.027,0.03,0.027,0.03,0.027,0.03,0.027,0.03,0.027,0.03,0.027
-0.0001,0.008,-0.03,0.002,0.003,-0.008,0.03,-0.008,0.03,-0.008,0.03,-0.008,0.03,-0.008,0.03,-0.008,0.03,-0.008,0.03
-0.00025,0.004,0.008,0.019,0.002,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008,-0.004,-0.008
-0.00039,-0.015,0.004,0.002,0.019,0.005,-0.004,0.005,-0.004,0.005,-0.004,0.005,-0.004,0.005,-0.004,0.005,-0.004,0.005,-0.004
-3.00E-05,-0.011,-0.015,-0.009,0.002,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005
-5.00E-05,-0.005,-0.011,-0.022,-0.009,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011,0.005,0.011
0.00011,0,-0.005,0.007,-0.022,0,0.005,0,0.005,0,0.005,0,0.005,0,0.005,0,0.005,0,0.005
-0.00241,0,0,-0.01,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.00E-05,-0.021,0,-0.013,-0.01,0.021,0,0.021,0,0.021,0,0.021,0,0.021,0,0.021,0,0.021,0
-0.00012,0.013,-0.021,-0.026,-0.013,-0.033,0.021,-0.033,0.021,-0.033,0.021,-0.033,0.021,-0.033,0.021,-0.033,0.021,-0.033,0.021
-0.00051,-0.023,0.013,-0.021,-0.026,0.023,-0.033,0.023,-0.033,0.023,-0.033,0.023,-0.033,0.023,-0.033,0.023,-0.033,0.023,-0.033
-0.00025,0.019,-0.023,-0.01,-0.021,-0.019,0.023,-0.019,0.023,-0.019,0.023,-0.019,0.023,-0.019,0.023,-0.019,0.023,-0.019,0.023
0.00038,0.037,0.019,0.024,-0.01,-0.037,-0.019,-0.037,-0.019,-0.037,-0.019,-0.037,-0.019,-0.037,-0.019,-0.037,-0.019,-0.037,-0.019
0.00013,-0.016,0.037,-0.006,0.024,0.006,-0.037,0.006,-0.037,0.006,-0.037,0.006,-0.037,0.006,-0.037,0.006,-0.037,0.006,-0.037
-0.00033,0.006,-0.016,-0.001,-0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006
-0.0005,-0.029,0.006,-0.018,-0.001,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006
-0.00019,0.011,-0.029,0.008,-0.018,-0.021,0.029,-0.021,0.029,-0.021,0.029,-0.021,0.029,-0.021,0.029,-0.021,0.029,-0.021,0.029
1.00E-05,-0.002,0.011,0,0.008,0.002,-0.021,0.002,-0.021,0.002,-0.021,0.002,-0.021,0.002,-0.021,0.002,-0.021,0.002,-0.021
-0.00013,-0.005,-0.002,-0.008,0,0.005,0.002,0.005,0.002,0.005,0.002,0.005,0.002,0.005,0.002,0.005,0.002,0.005,0.002
-0.00247,0.021,-0.005,-0.003,-0.008,-0.021,0.005,-0.021,0.005,-0.021,0.005,-0.021,0.005,-0.021,0.005,-0.021,0.005,-0.021,0.005
-0.00171,0.028,0.021,0.006,-0.003,-0.028,-0.021,-0.028,-0.021,-0.028,-0.021,-0.028,-0.021,-0.028,-0.021,-0.028,-0.021,-0.028,-0.021
-0.00024,-0.022,0.028,-0.006,0.006,0.022,-0.028,0.022,-0.028,0.022,-0.028,0.022,-0.028,0.022,-0.028,0.022,-0.028,0.022,-0.028
-0.0001,-0.015,-0.022,-0.01,-0.006,0.025,0.022,0.025,0.022,0.025,0.022,0.025,0.022,0.025,0.022,0.025,0.022,0.025,0.022
-0.00055,-0.012,-0.015,-0.002,-0.01,0.012,0.025,0.012,0.025,0.012,0.025,0.012,0.025,0.012,0.025,0.012,0.025,0.012,0.025
-0.00022,0.019,-0.012,0.01,-0.002,-0.019,0.012,-0.019,0.012,-0.019,0.012,-0.019,0.012,-0.019,0.012,-0.019,0.012,-0.019,0.012
-6.00E-05,0.04,0.019,0.023,0.01,-0.04,-0.019,-0.04,-0.019,-0.04,-0.019,-0.04,-0.019,-0.04,-0.019,-0.04,-0.019,-0.04,-0.019
-0.00049,-0.012,0.04,-0.005,0.023,0.012,-0.04,0.012,-0.04,0.012,-0.04,0.012,-0.04,0.012,-0.04,0.012,-0.04,0.012,-0.04
-0.00042,0.01,-0.012,-0.006,-0.005,-0.01,0.012,-0.01,0.012,-0.01,0.012,-0.01,0.012,-0.01,0.012,-0.01,0.012,-0.01,0.012
-0.00092,-0.011,0.01,-0.006,-0.006,-0.009,-0.01,-0.009,-0.01,-0.009,-0.01,-0.009,-0.01,-0.009,-0.01,-0.009,-0.01,-0.009,-0.01
-0.00021,0.011,-0.011,-0.01,-0.006,-0.011,-0.009,-0.011,-0.009,-0.011,-0.009,-0.011,-0.009,-0.011,-0.009,-0.011,-0.009,-0.011,-0.009
-0.00012,-0.023,0.011,-0.006,-0.01,0.023,-0.011,0.023,-0.011,0.023,-0.011,0.023,-0.011,0.023,-0.011,0.023,-0.011,0.023,-0.011
-0.00024,-0.021,-0.023,-0.018,-0.006,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023,0.011,0.023
-0.00019,0.011,-0.021,0.004,-0.018,-0.011,0.011,-0.011,0.011,-0.011,0.011,-0.011,0.011,-0.011,0.011,-0.011,0.011,-0.011,0.011
-0.00386,-0.004,0.011,-0.003,0.004,-0.006,-0.011,-0.006,-0.011,-0.006,-0.011,-0.006,-0.011,-0.006,-0.011,-0.006,-0.011,-0.006,-0.011
-0.00015,0.02,-0.004,0.01,-0.003,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006,-0.02,-0.006
-0.0009,-0.005,0.02,0,0.01,0.005,-0.02,0.005,-0.02,0.005,-0.02,0.005,-0.02,0.005,-0.02,0.005,-0.02,0.005,-0.02
-0.00076,-0.01,-0.005,0.002,0,0.01,0.005,0.01,0.005,0.01,0.005,0.01,0.005,0.01,0.005,0.01,0.005,0.01,0.005
0,0.008,-0.01,0.001,0.002,-0.008,0.01,-0.008,0.01,-0.008,0.01,-0.008,0.01,-0.008,0.01,-0.008,0.01,-0.008,0.01
-0.00035,-0.005,0.008,-0.007,0.001,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008,0.005,-0.008
8.00E-05,-0.001,-0.005,-0.002,-0.007,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005,0.001,0.005
1.00E-05,0.015,-0.001,0.002,-0.002,-0.015,0.001,-0.015,0.001,-0.015,0.001,-0.015,0.001,-0.015,0.001,-0.015,0.001,-0.015,0.001
0,0.001,0.015,0.006,0.002,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015
0.00043,0.019,0.001,-0.003,0.006,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001,-0.009,-0.001
0.00036,-0.014,0.019,0.007,-0.003,0.014,-0.009,0.014,-0.009,0.014,-0.009,0.014,-0.009,0.014,-0.009,0.014,-0.009,0.014,-0.009
1.00E-05,-0.01,-0.014,-0.008,0.007,0.01,0.014,0.01,0.014,0.01,0.014,0.01,0.014,0.01,0.014,0.01,0.014,0.01,0.014
-0.00084,-0.003,-0.01,-0.003,-0.008,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01,0.003,0.01
0.00042,0.007,-0.003,0.008,-0.003,-0.007,0.003,-0.007,0.003,-0.007,0.003,-0.007,0.003,-0.007,0.003,-0.007,0.003,-0.007,0.003
0,0.043,0.007,0.015,0.008,-0.043,-0.007,-0.043,-0.007,-0.043,-0.007,-0.043,-0.007,-0.043,-0.007,-0.043,-0.007,-0.043,-0.007
0.0001,0,0.043,0,0.015,-0.01,-0.043,-0.01,-0.043,-0.01,-0.043,-0.01,-0.043,-0.01,-0.043,-0.01,-0.043,-0.01,-0.043
-0.00028,0.033,0,0.005,0,-0.033,-0.01,-0.033,-0.01,-0.033,-0.01,-0.033,-0.01,-0.033,-0.01,-0.033,-0.01,-0.033,-0.01
1.00E-05,0.038,0.033,0.02,0.005,-0.038,-0.033,-0.038,-0.033,-0.038,-0.033,-0.038,-0.033,-0.038,-0.033,-0.038,-0.033,-0.038,-0.033
-0.00036,0,0.038,0.007,0.02,0,-0.038,0,-0.038,0,-0.038,0,-0.038,0,-0.038,0,-0.038,0,-0.038
0.00053,0.005,0,0,0.007,-0.005,0,-0.005,0,-0.005,0,-0.005,0,-0.005,0,-0.005,0,-0.005,0
0.00032,-0.009,0.005,0.006,0,0.009,-0.005,0.009,-0.005,0.009,-0.005,0.009,-0.005,0.009,-0.005,0.009,-0.005,0.009,-0.005
-1.00E-05,-0.015,-0.009,-0.016,0.006,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009,0.005,0.009
0.00023,-0.007,-0.015,-0.008,-0.016,0.007,0.005,0.007,0.005,0.007,0.005,0.007,0.005,0.007,0.005,0.007,0.005,0.007,0.005
-5.00E-05,0.001,-0.007,-0.001,-0.008,-0.001,0.007,-0.001,0.007,-0.001,0.007,-0.001,0.007,-0.001,0.007,-0.001,0.007,-0.001,0.007
8.00E-05,-0.064,0.001,-0.016,-0.001,0.064,-0.001,0.064,-0.001,0.064,-0.001,0.064,-0.001,0.064,-0.001,0.064,-0.001,0.064,-0.001
0.00047,-0.02,-0.064,-0.001,-0.016,0.02,0.064,0.02,0.064,0.02,0.064,0.02,0.064,0.02,0.064,0.02,0.064,0.02,0.064
3.00E-05,-0.005,-0.02,0.002,-0.001,0.005,0.02,0.005,0.02,0.005,0.02,0.005,0.02,0.005,0.02,0.005,0.02,0.005,0.02
-1.00E-05,0,-0.005,-0.006,0.002,0,0.005,0,0.005,0,0.005,0,0.005,0,0.005,0,0.005,0,0.005
-1.00E-04,-0.007,0,-0.002,-0.006,0.007,0,0.007,0,0.007,0,0.007,0,0.007,0,0.007,0,0.007,0
0.00024,0.003,-0.007,0.006,-0.002,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
3.00E-05,0.012,0.003,0.003,0.006,-0.012,0.007,-0.012,0.007,-0.012,0.007,-0.012,0.007,-0.012,0.007,-0.012,0.007,-0.012,0.007
-0.00014,-0.028,0.012,-0.009,0.003,0.028,-0.012,0.028,-0.012,0.028,-0.012,0.028,-0.012,0.028,-0.012,0.028,-0.012,0.028,-0.012
-5.00E-05,0.007,-0.028,-0.003,-0.009,-0.007,0.028,-0.007,0.028,-0.007,0.028,-0.007,0.028,-0.007,0.028,-0.007,0.028,-0.007,0.028
3.00E-05,-0.004,0.007,0.008,-0.003,0.004,-0.007,0.004,-0.007,0.004,-0.007,0.004,-0.007,0.004,-0.007,0.004,-0.007,0.004,-0.007
-0.00097,0.012,-0.004,-0.008,0.008,-0.012,0.004,-0.012,0.004,-0.012,0.004,-0.012,0.004,-0.012,0.004,-0.012,0.004,-0.012,0.004
2.00E-05,-0.003,0.012,-0.001,-0.008,0.003,-0.012,0.003,-0.012,0.003,-0.012,0.003,-0.012,0.003,-0.012,0.003,-0.012,0.003,-0.012
-0.00053,0.006,-0.003,-0.004,-0.001,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003,-0.016,0.003
0,-0.022,0.006,-0.01,-0.004,0.022,-0.016,0.022,-0.016,0.022,-0.016,0.022,-0.016,0.022,-0.016,0.022,-0.016,0.022,-0.016
2.00E-05,0.008,-0.022,0.003,-0.01,-0.008,0.022,-0.008,0.022,-0.008,0.022,-0.008,0.022,-0.008,0.022,-0.008,0.022,-0.008,0.022
0.00019,0.025,0.008,0,0.003,-0.025,-0.008,-0.025,-0.008,-0.025,-0.008,-0.025,-0.008,-0.025,-0.008,-0.025,-0.008,-0.025,-0.008
0.00021,0.002,0.025,0.011,0,-0.002,-0.025,-0.002,-0.025,-0.002,-0.025,-0.002,-0.025,-0.002,-0.025,-0.002,-0.025,-0.002,-0.025
-0.00016,0.041,0.002,0.016,0.011,-0.051,-0.002,-0.051,-0.002,-0.051,-0.002,-0.051,-0.002,-0.051,-0.002,-0.051,-0.002,-0.051,-0.002
0.00022,-0.029,0.041,-0.002,0.016,0.029,-0.051,0.029,-0.051,0.029,-0.051,0.029,-0.051,0.029,-0.051,0.029,-0.051,0.029,-0.051
-0.0017,-0.007,-0.029,-0.02,-0.002,0.007,0.029,0.007,0.029,0.007,0.029,0.007,0.029,0.007,0.029,0.007,0.029,0.007,0.029
1.00E-05,-0.012,-0.007,-0.004,-0.02,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007
-3.00E-05,0.003,-0.012,0,-0.004,-0.003,0.012,-0.003,0.012,-0.003,0.012,-0.003,0.012,-0.003,0.012,-0.003,0.012,-0.003,0.012
0.0002,-0.004,0.003,0,0,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003
4.00E-05,0.003,-0.004,0.007,0,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004,-0.003,0.004
-3.00E-05,-0.006,0.003,-0.006,0.007,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.006,-0.003
8.00E-05,0.004,-0.006,0.007,-0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006,-0.004,0.006
0.00061,0.01,0.004,0.008,0.007,-0.01,-0.004,-0.01,-0.004,-0.01,-0.004,-0.01,-0.004,-0.01,-0.004,-0.01,-0.004,-0.01,-0.004
5.00E-05,0.017,0.01,0.014,0.008,-0.017,-0.01,-0.017,-0.01,-0.017,-0.01,-0.017,-0.01,-0.017,-0.01,-0.017,-0.01,-0.017,-0.01
0,-0.024,0.017,-0.003,0.014,0.024,-0.017,0.024,-0.017,0.024,-0.017,0.024,-0.017,0.024,-0.017,0.024,-0.017,0.024,-0.017
-0.00049,0.005,-0.024,-0.001,-0.003,-0.005,0.024,-0.005,0.024,-0.005,0.024,-0.005,0.024,-0.005,0.024,-0.005,0.024,-0.005,0.024
