delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
-0.00037,-0.029,-0.01,-0.013,0.003,0.029,0.01,0.029,0.01,0.029,0.01,0.029,0.01,0.029,0.01,0.029,0.01,0.029,0.01
3.00E-05,-0.022,-0.029,-0.012,-0.013,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029
0.00039,-0.029,-0.022,-0.01,-0.012,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022,0.029,0.022
-4.00E-05,0.006,-0.029,-0.007,-0.01,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029,-0.006,0.029
-0.00022,0.017,0.006,0.003,-0.007,-0.017,-0.006,-0.017,-0.006,-0.017,-0.006,-0.017,-0.006,-0.017,-0.006,-0.017,-0.006,-0.017,-0.006
0.00333,0.012,0.017,0.005,0.003,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017,-0.012,-0.017
0.00036,-0.03,0.012,-0.009,0.005,0.03,-0.012,0.03,-0.012,0.03,-0.012,0.03,-0.012,0.03,-0.012,0.03,-0.012,0.03,-0.012
0.00054,0.005,-0.03,-0.001,-0.009,-0.005,0.03,-0.005,0.03,-0.005,0.03,-0.005,0.03,-0.005,0.03,-0.005,0.03,-0.005,0.03
-0.00015,0.012,0.005,0.002,-0.001,-0.012,-0.005,-0.012,-0.005,-0.012,-0.005,-0.012,-0.005,-0.012,-0.005,-0.012,-0.005,-0.012,-0.005
0,-0.014,0.012,0.003,0.002,0.014,-0.012,0.014,-0.012,0.014,-0.012,0.014,-0.012,0.014,-0.012,0.014,-0.012,0.014,-0.012
0.00197,0.017,-0.014,0.002,0.003,-0.017,0.014,-0.017,0.014,-0.017,0.014,-0.017,0.014,-0.017,0.014,-0.017,0.014,-0.017,0.014
-0.00039,0.013,0.017,0.002,0.002,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017,-0.013,-0.017
-2.00E-05,-0.048,0.013,-0.008,0.002,0.048,-0.013,0.048,-0.013,0.048,-0.013,0.048,-0.013,0.048,-0.013,0.048,-0.013,0.048,-0.013
0.00127,-0.018,-0.048,-0.014,-0.008,0.018,0.048,0.018,0.048,0.018,0.048,0.018,0.048,0.018,0.048,0.018,0.048,0.018,0.048
5.00E-05,0.007,-0.018,0.006,-0.014,-0.007,0.018,-0.007,0.018,-0.007,0.018,-0.007,0.018,-0.007,0.018,-0.007,0.018,-0.007,0.018
0.00118,-0.005,0.007,-0.005,0.006,0.005,-0.007,0.005,-0.007,0.005,-0.007,0.005,-0.007,0.005,-0.007,0.005,-0.007,0.005,-0.007
-1.00E-05,0.011,-0.005,0,-0.005,-0.011,0.005,-0.011,0.005,-0.011,0.005,-0.011,0.005,-0.011,0.005,-0.011,0.005,-0.011,0.005
1.00E-05,-0.015,0.011,0.002,0,0.015,-0.011,0.015,-0.011,0.015,-0.011,0.015,-0.011,0.015,-0.011,0.015,-0.011,0.015,-0.011
0.00108,-0.047,-0.015,-0.009,0.002,0.047,0.015,0.047,0.015,0.047,0.015,0.047,0.015,0.047,0.015,0.047,0.015,0.047,0.015
-0.00064,0.028,-0.047,0.001,-0.009,-0.028,0.047,-0.028,0.047,-0.028,0.047,-0.028,0.047,-0.028,0.047,-0.028,0.047,-0.028,0.047
-0.00032,-0.012,0.028,-0.001,0.001,0.012,-0.028,0.012,-0.028,0.012,-0.028,0.012,-0.028,0.012,-0.028,0.012,-0.028,0.012,-0.028
-0.0002,-0.007,-0.012,-0.008,-0.001,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012,0.007,0.012
0.0003,0.014,-0.007,0,-0.008,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007,-0.014,0.007
0.00073,0.023,0.014,0.005,0,-0.023,-0.014,-0.023,-0.014,-0.023,-0.014,-0.023,-0.014,-0.023,-0.014,-0.023,-0.014,-0.023,-0.014
0.00026,0.001,0.023,0.009,0.005,-0.001,-0.023,-0.001,-0.023,-0.001,-0.023,-0.001,-0.023,-0.001,-0.023,-0.001,-0.023,-0.001,-0.023
-0.00069,0.031,0.001,0.007,0.009,-0.031,-0.001,-0.031,-0.001,-0.031,-0.001,-0.031,-0.001,-0.031,-0.001,-0.031,-0.001,-0.031,-0.001
-3.00E-05,-0.008,0.031,0.001,0.007,0.008,-0.031,0.008,-0.031,0.008,-0.031,0.008,-0.031,0.008,-0.031,0.008,-0.031,0.008,-0.031
7.00E-05,0.019,-0.008,0.001,0.001,-0.019,0.008,-0.019,0.008,-0.019,0.008,-0.019,0.008,-0.019,0.008,-0.019,0.008,-0.019,0.008
0.00054,-0.034,0.019,0,0.001,0.034,-0.019,0.034,-0.019,0.034,-0.019,0.034,-0.019,0.034,-0.019,0.034,-0.019,0.034,-0.019
-7.00E-05,-0.001,-0.034,-0.006,0,0.001,0.034,0.001,0.034,0.001,0.034,0.001,0.034,0.001,0.034,0.001,0.034,0.001,0.034
-0.00059,0,-0.001,0.005,-0.006,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001
-0.00104,0.018,0,-0.003,0.005,-0.018,0,-0.018,0,-0.018,0,-0.018,0,-0.018,0,-0.018,0,-0.018,0
-0.00037,0.009,0.018,0.014,-0.003,-0.009,-0.018,-0.009,-0.018,-0.009,-0.018,-0.009,-0.018,-0.009,-0.018,-0.009,-0.018,-0.009,-0.018
-0.00019,0.005,0.009,0,0.014,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009,-0.005,-0.009
