AAAt,AAAt-1,delta_AAA,AA+t,AA+t-1,delta_AA+,AAt,AAt-1,delta_AA,AA-t,AA-t-1,delta_AA-,A+t,A+t-1,delta_A+,At,At-1,delta_A,A-t,A-t-1,delta_A-,volatility_t,volatility_t-1,delta_v
0.319,0.333,-0.014,0.349,0.363,-0.014,0.379,0.393,-0.014,0.409,0.423,-0.014,0.599,0.613,-0.014,0.859,0.873,-0.014,1.279,1.293,-0.014,-1.57,-2.3,0.73
0.333,0.329,0.004,0.363,0.359,0.004,0.393,0.399,-0.006,0.423,0.429,-0.006,0.613,0.609,0.004,0.873,0.879,-0.006,1.293,1.289,0.004,-2.3,-0.87,-1.43
0.329,0.329,0,0.359,0.359,0,0.399,0.389,0.01,0.429,0.419,0.01,0.609,0.609,0,0.879,0.869,0.01,1.289,1.289,0,-0.87,-4.81,3.94
0.329,0.337,-0.008,0.359,0.367,-0.008,0.389,0.397,-0.008,0.419,0.427,-0.008,0.609,0.617,-0.008,0.869,0.877,-0.008,1.289,1.297,-0.008,-4.81,0.16,-4.97
0.337,0.329,0.008,0.367,0.359,0.008,0.397,0.389,0.008,0.427,0.419,0.008,0.617,0.609,0.008,0.877,0.869,0.008,1.297,1.289,0.008,0.16,4.95,-4.79
0.329,0.32,0.009,0.359,0.35,0.009,0.389,0.38,0.009,0.419,0.41,0.009,0.609,0.6,0.009,0.869,0.86,0.009,1.289,1.28,0.009,4.95,8.18,-3.23
0.32,0.328,-0.008,0.35,0.348,0.002,0.38,0.388,-0.008,0.41,0.418,-0.008,0.6,0.598,0.002,0.86,0.868,-0.008,1.28,1.278,0.002,8.18,-7.26,15.44
0.328,0.326,0.002,0.348,0.356,-0.008,0.388,0.386,0.002,0.418,0.416,0.002,0.598,0.606,-0.008,0.868,0.866,0.002,1.278,1.286,-0.008,-7.26,19.74,-27
0.326,0.323,0.003,0.356,0.353,0.003,0.386,0.383,0.003,0.416,0.413,0.003,0.606,0.603,0.003,0.866,0.863,0.003,1.286,1.283,0.003,19.74,7.07,12.67
0.323,0.335,-0.012,0.353,0.355,-0.002,0.383,0.395,-0.012,0.413,0.425,-0.012,0.603,0.605,-0.002,0.863,0.875,-0.012,1.283,1.285,-0.002,7.07,-0.83,7.9
0.335,0.325,0.01,0.355,0.345,0.01,0.395,0.385,0.01,0.425,0.415,0.01,0.605,0.595,0.01,0.875,0.865,0.01,1.285,1.275,0.01,-0.83,5.65,-6.48
0.325,0.317,0.008,0.345,0.337,0.008,0.385,0.377,0.008,0.415,0.407,0.008,0.595,0.587,0.008,0.865,0.857,0.008,1.275,1.267,0.008,5.65,0.29,5.36
0.317,0.324,-0.007,0.337,0.354,-0.017,0.377,0.384,-0.007,0.407,0.414,-0.007,0.587,0.604,-0.017,0.857,0.864,-0.007,1.267,1.284,-0.017,0.29,0.15,0.14
0.324,0.329,-0.005,0.354,0.349,0.005,0.384,0.389,-0.005,0.414,0.419,-0.005,0.604,0.599,0.005,0.864,0.869,-0.005,1.284,1.279,0.005,0.15,1.57,-1.42
