ID,NAME,TIME,P,CY,DONG,SIZE,F,LAT,LON,D_P,D_HS,D_R,D_U,D_HP,D_M,D_S,BRAND,N_H,N_D,HEAT,HIGHEST,LOWEST,PARK,YONG,GUN
12262,신동아,2011Q2,29300,1992,수서동,33.18,3,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,12,2,개별난방,6,6,0,87,0
12263,신동아,2011Q2,29300,1992,수서동,33.18,3,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,106,1,개별난방,14,10,0.9,285,26
12264,신동아,2011Q2,29300,1992,수서동,33.18,3,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,1162,8,지역난방,15,15,0.27,203,17
12265,신동아,2011Q1,37900,1992,수서동,39.53,4,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,12,2,개별난방,6,6,0,87,0
12266,신동아,2011Q1,37900,1992,수서동,39.53,4,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,106,1,개별난방,14,10,0.9,285,26
12267,신동아,2011Q1,37900,1992,수서동,39.53,4,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,1162,8,지역난방,15,15,0.27,203,17
12268,신동아,2008Q2,35000,1992,수서동,39.53,1,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,12,2,개별난방,6,6,0,87,0
12269,신동아,2008Q2,35000,1992,수서동,39.53,1,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,106,1,개별난방,14,10,0.9,285,26
12270,신동아,2008Q2,35000,1992,수서동,39.53,1,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,1162,8,지역난방,15,15,0.27,203,17
12271,신동아,2007Q1,39700,1992,수서동,49.96,6,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,12,2,개별난방,6,6,0,87,0
12272,신동아,2007Q1,39700,1992,수서동,49.96,6,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12273,신동아,2007Q1,39700,1992,수서동,49.96,6,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12274,신동아,2006Q3,16800,1992,수서동,33.18,14,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,12,2,개별난방,6,6,0,87,0
12275,신동아,2006Q3,16800,1992,수서동,33.18,14,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,106,1,개별난방,14,10,0.9,285,26
12276,신동아,2006Q3,16800,1992,수서동,33.18,14,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,1162,8,지역난방,15,15,0.27,203,17
12277,신동아,2013Q4,82000,1997,청담동,84.94,14,37.5233139,127.0592016,635.5999962,798.338044,373.8195259,2582.952659,966.3001657,1284.715998,783.8244827,0,12,2,개별난방,6,6,0,87,0
12278,신동아,2013Q4,82000,1997,청담동,84.94,14,37.5233139,127.0592016,635.5999962,798.338044,373.8195259,2582.952659,966.3001657,1284.715998,783.8244827,0,106,1,개별난방,14,10,0.9,285,26
12279,신동아,2013Q4,82000,1997,청담동,84.94,14,37.5233139,127.0592016,635.5999962,798.338044,373.8195259,2582.952659,966.3001657,1284.715998,783.8244827,0,1162,8,지역난방,15,15,0.27,203,17
12280,신동아,2007Q3,36500,1992,수서동,49.96,2,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,12,2,개별난방,6,6,0,87,0
12281,신동아,2007Q3,36500,1992,수서동,49.96,2,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,106,1,개별난방,14,10,0.9,285,26
12282,신동아,2007Q3,36500,1992,수서동,49.96,2,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,1162,8,지역난방,15,15,0.27,203,17
12283,신동아,2006Q3,68500,1997,청담동,84.94,10,37.5214262,127.0406456,613.7226092,274.2550268,1335.668749,981.9037411,834.3286004,512.869161,474.0998834,0,12,2,개별난방,6,6,0,87,0
12284,신동아,2006Q3,68500,1997,청담동,84.94,10,37.5214262,127.0406456,613.7226092,274.2550268,1335.668749,981.9037411,834.3286004,512.869161,474.0998834,0,106,1,개별난방,14,10,0.9,285,26
12285,신동아,2006Q3,68500,1997,청담동,84.94,10,37.5214262,127.0406456,613.7226092,274.2550268,1335.668749,981.9037411,834.3286004,512.869161,474.0998834,0,1162,8,지역난방,15,15,0.27,203,17
12286,신동아,2006Q3,73000,1997,청담동,84.94,13,37.5194228,127.0478786,456.0714971,408.1559203,1041.236872,1509.361849,158.6795432,1185.98473,369.3749508,0,12,2,개별난방,6,6,0,87,0
12287,신동아,2006Q3,73000,1997,청담동,84.94,13,37.5194228,127.0478786,456.0714971,408.1559203,1041.236872,1509.361849,158.6795432,1185.98473,369.3749508,0,106,1,개별난방,14,10,0.9,285,26
12288,신동아,2006Q3,73000,1997,청담동,84.94,13,37.5194228,127.0478786,456.0714971,408.1559203,1041.236872,1509.361849,158.6795432,1185.98473,369.3749508,0,1162,8,지역난방,15,15,0.27,203,17
12289,신동아,2014Q4,83000,1997,청담동,84.94,6,37.5234681,127.0572946,489.4794669,776.0791324,441.0314744,2426.596802,833.008073,1312.753184,668.0235899,0,12,2,개별난방,6,6,0,87,0
12290,신동아,2014Q4,83000,1997,청담동,84.94,6,37.5234681,127.0572946,489.4794669,776.0791324,441.0314744,2426.596802,833.008073,1312.753184,668.0235899,0,106,1,개별난방,14,10,0.9,285,26
12291,신동아,2014Q4,83000,1997,청담동,84.94,6,37.5234681,127.0572946,489.4794669,776.0791324,441.0314744,2426.596802,833.008073,1312.753184,668.0235899,0,1162,8,지역난방,15,15,0.27,203,17
12292,신동아,2008Q3,35300,1992,수서동,39.53,2,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,12,2,개별난방,6,6,0,87,0
12293,신동아,2008Q3,35300,1992,수서동,39.53,2,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,106,1,개별난방,14,10,0.9,285,26
